Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.7864276170730591,0.8131517022848129,0.4844961240310077,0.4636363636363636,0.48695652173913045,0.5343511450381679,0.42857142857142855,0.6229508196721312,0.5227272727272727,0.42424242424242425,0.5714285714285714,0.3770491803278688,-0.05227083734893167,0.4255603880896621,0.3858537831895348
2,0.7884449410438538,0.8002454340457916,0.4844961240310077,0.5545454545454546,0.5663716814159292,0.6153846153846154,0.3469387755102041,0.5245901639344263,0.6304347826086957,0.5,0.6530612244897959,0.47540983606557374,0.12944919796989174,0.49481431917029106,0.4446826311865246
3,0.7820004987716674,0.7933928519487381,0.4974160206718346,0.6,0.5111111111111111,0.48523206751054854,0.5306122448979592,0.29508196721311475,0.6231884057971014,0.5609756097560976,0.46938775510204084,0.7049180327868853,0.17916711146800574,0.5844764135162261,0.49874765966255025
4,0.7692875337600708,0.7761842459440231,0.5193798449612403,0.6545454545454545,0.6481481481481481,0.6862745098039216,0.2857142857142857,0.39344262295081966,0.7254901960784313,0.5932203389830508,0.7142857142857143,0.6065573770491803,0.31977503547044484,0.6570759451321512,0.5853194764671659
5,0.7611471962928772,0.768353283405304,0.5490956072351422,0.6818181818181818,0.6236559139784946,0.6041666666666666,0.40816326530612246,0.2459016393442623,0.696969696969697,0.6590909090909091,0.5918367346938775,0.7540983606557377,0.35096133648568406,0.7236533957845434,0.6782672142894532
6,0.7467728090286255,0.7607199549674988,0.6020671834625323,0.7,0.6597938144329897,0.6557377049180327,0.3469387755102041,0.26229508196721313,0.7258064516129032,0.6666666666666666,0.6530612244897959,0.7377049180327869,0.3916187003628873,0.7564402810304449,0.7308589732712409
7,0.7475654077529907,0.748906597495079,0.5943152454780362,0.7090909090909091,0.673469387755102,0.673469387755102,0.32653061224489793,0.26229508196721313,0.7377049180327869,0.673469387755102,0.673469387755102,0.7377049180327869,0.41117430578788894,0.8009367681498829,0.7775449677585273
8,0.7301636600494384,0.7371207922697067,0.6317829457364341,0.7272727272727273,0.7,0.708502024291498,0.2857142857142857,0.26229508196721313,0.7627118644067796,0.6862745098039216,0.7142857142857143,0.7377049180327869,0.4504859988744223,0.8293743726998997,0.81728455400438
9,0.731094286441803,0.7255245298147202,0.6576227390180879,0.7545454545454545,0.7567567567567568,0.813953488372093,0.14285714285714285,0.32786885245901637,0.8541666666666666,0.6774193548387096,0.8571428571428571,0.6721311475409836,0.5304287534024724,0.8340582134493142,0.8159498393326854
10,0.7067278742790222,0.7231952250003815,0.6692506459948321,0.7727272727272727,0.7422680412371134,0.7377049180327869,0.2653061224489796,0.19672131147540983,0.7903225806451613,0.75,0.7346938775510204,0.8032786885245902,0.5391462929653449,0.841083974573436,0.818640965662388
11,0.7127440667152405,0.7126827836036682,0.6692506459948321,0.7454545454545455,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.22950819672131148,0.7704918032786885,0.7142857142857143,0.7142857142857143,0.7704918032786885,0.4847775175644028,0.8507862161257945,0.8339366697278361
12,0.7009038162231446,0.7120650261640549,0.6886304909560723,0.7636363636363637,0.717391304347826,0.6903765690376569,0.32653061224489793,0.16393442622950818,0.7611940298507462,0.7674418604651163,0.673469387755102,0.8360655737704918,0.5189975607198372,0.8434258949481431,0.8275306587796283
13,0.6969396710395813,0.6909874975681305,0.689922480620155,0.7818181818181819,0.7692307692307693,0.796812749003984,0.1836734693877551,0.2459016393442623,0.8363636363636363,0.7272727272727273,0.8163265306122449,0.7540983606557377,0.5670204682742536,0.8491134158581465,0.8229497329067907
14,0.7022068190574646,0.7056606858968735,0.6925064599483204,0.7363636363636363,0.6506024096385542,0.5869565217391305,0.4489795918367347,0.11475409836065574,0.7105263157894737,0.7941176470588235,0.5510204081632653,0.8852459016393442,0.46921120983624404,0.848778855804617,0.8253882110743714
15,0.6881266045570373,0.6830161213874817,0.6950904392764858,0.7818181818181819,0.7647058823529411,0.7831325301204819,0.20408163265306123,0.22950819672131148,0.8245614035087719,0.7358490566037735,0.7959183673469388,0.7704918032786885,0.5634023290089714,0.8531281365005019,0.8311994391196871
16,0.6752808594703674,0.6725427806377411,0.7067183462532299,0.7818181818181819,0.7647058823529411,0.7831325301204819,0.20408163265306123,0.22950819672131148,0.8245614035087719,0.7358490566037735,0.7959183673469388,0.7704918032786885,0.5634023290089714,0.8651722984275677,0.8394632123377644
17,0.6688995099067688,0.6811703145503998,0.7312661498708011,0.7909090909090909,0.7526881720430108,0.7291666666666666,0.2857142857142857,0.14754098360655737,0.7878787878787878,0.7954545454545454,0.7142857142857143,0.8524590163934426,0.5749792108382483,0.861492137838742,0.8332683201751969
18,0.6559095907211304,0.6653121113777161,0.7403100775193798,0.7727272727272727,0.7474747474747475,0.7520325203252033,0.24489795918367346,0.21311475409836064,0.8,0.74,0.7551020408163265,0.7868852459016393,0.5409927308455277,0.8608230177316828,0.8373621507258091
19,0.6652343273162842,0.6631358861923218,0.7144702842377261,0.7727272727272727,0.7474747474747475,0.7520325203252033,0.24489795918367346,0.21311475409836064,0.8,0.74,0.7551020408163265,0.7868852459016393,0.5409927308455277,0.858146537303446,0.8299003136693259
20,0.6488478875160217,0.6678543239831924,0.748062015503876,0.7636363636363637,0.723404255319149,0.7053941908713693,0.30612244897959184,0.18032786885245902,0.7692307692307693,0.7555555555555555,0.6938775510204082,0.819672131147541,0.519137602471737,0.8584810973569755,0.8406996409741043
21,0.6403092527389527,0.6590054035186768,0.7351421188630491,0.7818181818181819,0.75,0.7407407407407407,0.2653061224489796,0.18032786885245902,0.7936507936507936,0.7659574468085106,0.7346938775510204,0.819672131147541,0.5569809572133049,0.8641686182669789,0.8446274404872152
22,0.6426780700683594,0.6474335193634033,0.748062015503876,0.7818181818181819,0.76,0.7692307692307693,0.22448979591836735,0.21311475409836064,0.8135593220338984,0.7450980392156863,0.7755102040816326,0.7868852459016393,0.5605232894951176,0.8648377383740382,0.8412588839693282
23,0.6347145962715149,0.6378346532583237,0.7364341085271318,0.7909090909090909,0.7722772277227723,0.7862903225806451,0.20408163265306123,0.21311475409836064,0.8275862068965517,0.75,0.7959183673469388,0.7868852459016393,0.5801890453480237,0.8725326196052192,0.8545660628871721
24,0.6447866415977478,0.6439464837312698,0.7338501291989664,0.7818181818181819,0.7446808510638298,0.7261410788381742,0.2857142857142857,0.16393442622950818,0.7846153846153846,0.7777777777777778,0.7142857142857143,0.8360655737704918,0.5563396456456075,0.8695215791234526,0.8490872047896936
25,0.6391399002075195,0.6395031362771988,0.7364341085271318,0.7727272727272727,0.7422680412371134,0.7377049180327869,0.2653061224489796,0.19672131147540983,0.7903225806451613,0.75,0.7346938775510204,0.8032786885245902,0.5391462929653449,0.8661759785881566,0.8491814383373247
26,0.6398722159862519,0.6309052854776382,0.7416020671834626,0.7909090909090909,0.7676767676767676,0.7723577235772358,0.22448979591836735,0.19672131147540983,0.8166666666666667,0.76,0.7755102040816326,0.8032786885245902,0.5777268051621993,0.8638340582134494,0.8397911704257227
27,0.6319772183895112,0.6253891736268997,0.7248062015503876,0.7909090909090909,0.7722772277227723,0.7862903225806451,0.20408163265306123,0.21311475409836064,0.8275862068965517,0.75,0.7959183673469388,0.7868852459016393,0.5801890453480237,0.8695215791234526,0.8529718645052577
28,0.637636981010437,0.623269647359848,0.7157622739018088,0.7818181818181819,0.76,0.7692307692307693,0.22448979591836735,0.21311475409836064,0.8135593220338984,0.7450980392156863,0.7755102040816326,0.7868852459016393,0.5605232894951176,0.8661759785881566,0.8461468397833829
29,0.6289994168281555,0.6385678052902222,0.7583979328165374,0.8090909090909091,0.7692307692307693,0.7352941176470589,0.2857142857142857,0.11475409836065574,0.7941176470588235,0.8333333333333334,0.7142857142857143,0.8852459016393442,0.6133324548629985,0.8648377383740381,0.8443210382502542
30,0.6208307373523713,0.6192783117294312,0.7661498708010336,0.8090909090909091,0.7878787878787878,0.7926829268292683,0.20408163265306123,0.18032786885245902,0.8333333333333334,0.78,0.7959183673469388,0.819672131147541,0.614460879478871,0.8685178989628639,0.8464350209577765
