Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.8054794430732727,0.7969624996185303,0.5465116279069767,0.5818181818181818,0.4888888888888889,0.4641350210970464,0.5510204081632653,0.3114754098360656,0.6086956521739131,0.5365853658536586,0.4489795918367347,0.6885245901639344,0.1413391224824383,0.6353295416527267,0.5660571683023664
2,0.7189413094520569,0.7694413810968399,0.6356589147286822,0.6363636363636364,0.6,0.6072874493927125,0.3877551020408163,0.3442622950819672,0.6779661016949152,0.5882352941176471,0.6122448979591837,0.6557377049180327,0.2670905145065968,0.662428905988625,0.5852286376119765
3,0.7132770800590515,0.7358677089214325,0.6421188630490956,0.6636363636363637,0.6476190476190476,0.6746031746031746,0.30612244897959184,0.36065573770491804,0.7222222222222222,0.6071428571428571,0.6938775510204082,0.639344262295082,0.33128783404893103,0.696554031448645,0.6127216407550661
4,0.6712056350708008,0.7098368853330612,0.6770025839793282,0.7,0.6857142857142857,0.7142857142857143,0.2653061224489796,0.32786885245901637,0.7592592592592593,0.6428571428571429,0.7346938775510204,0.6721311475409836,0.40446386165010056,0.7373703579792572,0.6658178504970251
5,0.6520600152015686,0.7087670415639877,0.7028423772609819,0.6818181818181818,0.6067415730337079,0.5720338983050848,0.4489795918367347,0.21311475409836064,0.6857142857142857,0.675,0.5510204081632653,0.7868852459016393,0.3491237554862754,0.775175644028103,0.7071600056103833
6,0.6199369049072265,0.6341375932097435,0.7028423772609819,0.7272727272727273,0.7169811320754716,0.7509881422924901,0.22448979591836735,0.3114754098360656,0.7924528301886793,0.6666666666666666,0.7755102040816326,0.6885245901639344,0.46157060267893874,0.8072934091669455,0.7504156552469576
7,0.6052793371677399,0.6210955902934074,0.7364341085271318,0.7545454545454545,0.7428571428571429,0.7738095238095238,0.20408163265306123,0.2786885245901639,0.8148148148148148,0.6964285714285714,0.7959183673469388,0.7213114754098361,0.5142279030518548,0.823017731682837,0.7643603227809619
8,0.5697604763507843,0.6100199669599533,0.7312661498708011,0.7727272727272727,0.7524752475247525,0.7661290322580645,0.22448979591836735,0.22950819672131148,0.8103448275862069,0.7307692307692307,0.7755102040816326,0.7704918032786885,0.5435525384661164,0.8350618936099029,0.7826524054202679
9,0.5645139598846436,0.5938562601804733,0.7428940568475452,0.7818181818181819,0.7647058823529411,0.7831325301204819,0.20408163265306123,0.22950819672131148,0.8245614035087719,0.7358490566037735,0.7959183673469388,0.7704918032786885,0.5634023290089714,0.84610237537638,0.7969771195354468
10,0.5488870966434479,0.5797524601221085,0.7635658914728682,0.8,0.7843137254901961,0.8032128514056225,0.1836734693877551,0.21311475409836064,0.8421052631578947,0.7547169811320755,0.8163265306122449,0.7868852459016393,0.6000085051406825,0.8537972566075611,0.8061422507299467
11,0.5396921443939209,0.602278396487236,0.7545219638242894,0.7909090909090909,0.7526881720430108,0.7291666666666666,0.2857142857142857,0.14754098360655737,0.7878787878787878,0.7954545454545454,0.7142857142857143,0.8524590163934426,0.5749792108382483,0.8614921378387421,0.8188264567887252
12,0.5236549532413483,0.5583150833845139,0.7751937984496124,0.8181818181818182,0.8,0.8097165991902834,0.1836734693877551,0.18032786885245902,0.847457627118644,0.7843137254901961,0.8163265306122449,0.819672131147541,0.6338814832422478,0.8658414185346269,0.8192773374542578
13,0.5149964737892151,0.5602494776248932,0.7803617571059431,0.8181818181818182,0.7959183673469388,0.7959183673469388,0.20408163265306123,0.16393442622950818,0.8360655737704918,0.7959183673469388,0.7959183673469388,0.8360655737704918,0.6319839411174306,0.8671796587487454,0.8189539143618632
14,0.5287603414058686,0.5803808942437172,0.7661498708010336,0.8,0.7608695652173914,0.7322175732217573,0.2857142857142857,0.13114754098360656,0.7910447761194029,0.813953488372093,0.7142857142857143,0.8688524590163934,0.5939676614147579,0.8728671796587487,0.8335704609230589
15,0.51034144282341,0.5357604399323463,0.7816537467700259,0.8181818181818182,0.7959183673469388,0.7959183673469388,0.20408163265306123,0.16393442622950818,0.8360655737704918,0.7959183673469388,0.7959183673469388,0.8360655737704918,0.6319839411174306,0.8778855804616928,0.841117375826241
