Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.9881769776344299,0.8039639536291361,0.5012919896640827,0.5454545454545454,0.6428571428571429,0.7839721254355401,0.08163265306122448,0.7540983606557377,0.7894736842105263,0.4945054945054945,0.9183673469387755,0.2459016393442623,0.215983730436277,0.654734024757444,0.6067535626205572
2,0.9185638999938965,0.7475941814482212,0.5258397932816538,0.5636363636363636,0.625,0.7272727272727273,0.1836734693877551,0.639344262295082,0.7096774193548387,0.5063291139240507,0.8163265306122449,0.36065573770491804,0.19552321148913387,0.664101706256273,0.6156160626536763
3,0.851280689239502,0.7048832252621651,0.5465116279069767,0.6181818181818182,0.6379310344827587,0.7034220532319392,0.24489795918367346,0.4918032786885246,0.7209302325581395,0.5522388059701493,0.7551020408163265,0.5081967213114754,0.26818849657682986,0.6751421880227501,0.6259911927602714
4,0.8202249264717102,0.683899387717247,0.5775193798449613,0.6454545454545455,0.6355140186915887,0.6692913385826772,0.30612244897959184,0.39344262295081966,0.7115384615384616,0.5862068965517241,0.6938775510204082,0.6065573770491803,0.29908711981775277,0.6898628303780528,0.638028510137652
5,0.7675017023086548,0.668978177011013,0.5943152454780362,0.6545454545454545,0.6346153846153846,0.6573705179282868,0.32653061224489793,0.36065573770491804,0.7090909090909091,0.6,0.673469387755102,0.639344262295082,0.3109467084084616,0.7096018735362998,0.6595123772575102
6,0.7763458013534545,0.6539051085710526,0.6046511627906976,0.6636363636363637,0.6407766990291263,0.66,0.32653061224489793,0.3442622950819672,0.7142857142857143,0.6111111111111112,0.673469387755102,0.6557377049180327,0.3272964143615945,0.7246570759451322,0.6688097742095589
7,0.7510126972198486,0.6409797370433807,0.6214470284237726,0.6727272727272727,0.6470588235294118,0.6626506024096386,0.32653061224489793,0.32786885245901637,0.7192982456140351,0.6226415094339622,0.673469387755102,0.6721311475409836,0.34376527221870495,0.7380394780863165,0.6816895380568311
8,0.7273073041439057,0.6255141347646713,0.6330749354005168,0.6727272727272727,0.6538461538461539,0.6772908366533864,0.30612244897959184,0.3442622950819672,0.7272727272727273,0.6181818181818182,0.6938775510204082,0.6557377049180327,0.34752867410357474,0.7524255603880897,0.6990424389157024
9,0.7047498774528503,0.612174779176712,0.6304909560723514,0.6909090909090909,0.6730769230769231,0.6972111553784861,0.2857142857142857,0.32786885245901637,0.7454545454545455,0.6363636363636364,0.7142857142857143,0.6721311475409836,0.38411063979868787,0.7631314821010372,0.7103337010932458
10,0.7105639207363129,0.6030314415693283,0.6421188630490956,0.7090909090909091,0.6862745098039216,0.7028112449799196,0.2857142857142857,0.29508196721311475,0.7543859649122807,0.660377358490566,0.7142857142857143,0.7049180327868853,0.4169776244821271,0.7721646035463365,0.7181707191117601
