Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.7945338797569275,0.8040999174118042,0.4819121447028424,0.43636363636363634,0.44642857142857145,0.4826254826254826,0.4897959183673469,0.6229508196721312,0.48936170212765956,0.3968253968253968,0.5102040816326531,0.3770491803278688,-0.11327856522684596,0.4784208765473402,0.45875733339039854
2,0.7858692026138305,0.7936120927333832,0.5103359173126615,0.5181818181818182,0.5309734513274337,0.5769230769230769,0.3877551020408163,0.5573770491803278,0.5869565217391305,0.46875,0.6122448979591837,0.4426229508196721,0.05528559496630792,0.5366343258614921,0.5184782943991016
3,0.778741431236267,0.7794638425111771,0.5180878552971576,0.5363636363636364,0.5233644859813084,0.5511811023622047,0.42857142857142855,0.4918032786885246,0.5961538461538461,0.4827586206896552,0.5714285714285714,0.5081967213114754,0.07926807852630864,0.607561057209769,0.5795244336810437
4,0.7795056080818177,0.7745650708675385,0.5077519379844961,0.6181818181818182,0.5625,0.5555555555555556,0.4489795918367347,0.32786885245901637,0.6507936507936508,0.574468085106383,0.5510204081632653,0.6721311475409836,0.22420416322346068,0.6714620274339244,0.6469139987026552
5,0.7659724593162537,0.7672262042760849,0.5684754521963824,0.6545454545454545,0.5869565217391305,0.5648535564853556,0.4489795918367347,0.26229508196721313,0.6716417910447762,0.627906976744186,0.5510204081632653,0.7377049180327869,0.2940872586350752,0.7069253931080629,0.6731228712960873
6,0.7498297238349915,0.7579105645418167,0.6227390180878553,0.7181818181818181,0.651685393258427,0.614406779661017,0.40816326530612246,0.18032786885245902,0.7142857142857143,0.725,0.5918367346938775,0.819672131147541,0.42517051410704826,0.7551020408163266,0.7140832221171094
7,0.7375120592117309,0.7353552579879761,0.6136950904392765,0.7363636363636363,0.7289719626168224,0.7677165354330708,0.20408163265306123,0.3114754098360656,0.8076923076923077,0.6724137931034483,0.7959183673469388,0.6885245901639344,0.4822696542272895,0.8002676480428237,0.7338103428985833
8,0.7364601159095764,0.7469347268342972,0.6175710594315246,0.7090909090909091,0.6,0.5286343612334802,0.5102040816326531,0.11475409836065574,0.6835443037974683,0.7741935483870968,0.4897959183673469,0.8852459016393442,0.4143317959911514,0.8012713282034125,0.7562943828972798
9,0.7327275729179382,0.7215849757194519,0.6395348837209303,0.7727272727272727,0.7524752475247525,0.7661290322580645,0.22448979591836735,0.22950819672131148,0.8103448275862069,0.7307692307692307,0.7755102040816326,0.7704918032786885,0.5435525384661164,0.8374038139846102,0.7879979887876898
10,0.7157367968559265,0.7234407961368561,0.6563307493540051,0.7636363636363637,0.723404255319149,0.7053941908713693,0.30612244897959184,0.18032786885245902,0.7692307692307693,0.7555555555555555,0.6938775510204082,0.819672131147541,0.519137602471737,0.8367346938775511,0.7883232177584286
11,0.7087625861167908,0.7100194096565247,0.665374677002584,0.7636363636363637,0.7547169811320755,0.7905138339920948,0.1836734693877551,0.2786885245901639,0.8301886792452831,0.7017543859649122,0.8163265306122449,0.7213114754098361,0.5347829549423609,0.8377383740381399,0.7884397173802256
12,0.7022175979614258,0.7101735323667526,0.6821705426356589,0.7818181818181819,0.7551020408163265,0.7551020408163265,0.24489795918367346,0.19672131147540983,0.8032786885245902,0.7551020408163265,0.7551020408163265,0.8032786885245902,0.5583807293409166,0.8313817330210773,0.7977226839361544
13,0.7036721181869506,0.6942739933729172,0.6770025839793282,0.7727272727272727,0.7572815533980582,0.78,0.20408163265306123,0.2459016393442623,0.8214285714285714,0.7222222222222222,0.7959183673469388,0.7540983606557377,0.5468244971651031,0.8564737370357979,0.8149148335191635
14,0.6870692873001099,0.6979293376207352,0.6795865633074936,0.7636363636363637,0.74,0.7489878542510121,0.24489795918367346,0.22950819672131148,0.7966101694915254,0.7254901960784313,0.7551020408163265,0.7704918032786885,0.5238441926215526,0.8454332552693208,0.810039698910558
15,0.6921517205238342,0.6927527040243149,0.6782945736434108,0.7454545454545455,0.7021276595744681,0.6846473029045643,0.32653061224489793,0.19672131147540983,0.7538461538461538,0.7333333333333333,0.673469387755102,0.8032786885245902,0.48193555929786663,0.8440950150552023,0.8131055774967393
16,0.6756327700614929,0.6860466450452805,0.710594315245478,0.7636363636363637,0.7291666666666666,0.720164609053498,0.2857142857142857,0.19672131147540983,0.7777777777777778,0.7446808510638298,0.7142857142857143,0.8032786885245902,0.5200057578810999,0.8558046169287387,0.8268843822285928
17,0.6768912148475646,0.6902919709682465,0.7080103359173127,0.7545454545454545,0.7216494845360825,0.7172131147540983,0.2857142857142857,0.21311475409836064,0.7741935483870968,0.7291666666666666,0.7142857142857143,0.7868852459016393,0.5022643948147305,0.8313817330210773,0.784267067489653
18,0.6708625769615173,0.6893695145845413,0.7183462532299741,0.7363636363636363,0.6741573033707865,0.635593220338983,0.3877551020408163,0.16393442622950818,0.7285714285714285,0.75,0.6122448979591837,0.8360655737704918,0.46319389341743467,0.8397457343593175,0.8101191341675313
19,0.6520573925971985,0.6758176237344742,0.7286821705426356,0.7909090909090909,0.7578947368421053,0.743801652892562,0.2653061224489796,0.16393442622950818,0.796875,0.782608695652174,0.7346938775510204,0.8360655737704918,0.5751050305641544,0.8551354968216796,0.8270968664154739
20,0.6711679697036743,0.6738498657941818,0.6976744186046512,0.7818181818181819,0.75,0.7407407407407407,0.2653061224489796,0.18032786885245902,0.7936507936507936,0.7659574468085106,0.7346938775510204,0.819672131147541,0.5569809572133049,0.8561391769822684,0.8220390842628986
21,0.6566177082061767,0.6652602851390839,0.7312661498708011,0.7818181818181819,0.76,0.7692307692307693,0.22448979591836735,0.21311475409836064,0.8135593220338984,0.7450980392156863,0.7755102040816326,0.7868852459016393,0.5605232894951176,0.8467714954834392,0.8160052883662995
22,0.645953209400177,0.6635622978210449,0.7118863049095607,0.7727272727272727,0.7422680412371134,0.7377049180327869,0.2653061224489796,0.19672131147540983,0.7903225806451613,0.75,0.7346938775510204,0.8032786885245902,0.5391462929653449,0.8440950150552025,0.8147368431036858
23,0.6466078567504883,0.640818640589714,0.7054263565891473,0.7545454545454545,0.7378640776699029,0.76,0.22448979591836735,0.26229508196721313,0.8035714285714286,0.7037037037037037,0.7755102040816326,0.7377049180327869,0.5102364833645183,0.8634994981599197,0.8433698959185602
24,0.6393149876594544,0.6666054576635361,0.7235142118863049,0.7272727272727273,0.6511627906976745,0.6008583690987125,0.42857142857142855,0.14754098360655737,0.7123287671232876,0.7567567567567568,0.5714285714285714,0.8524590163934426,0.44591426440487164,0.8548009367681499,0.8265947851382274
25,0.6433153128623963,0.6541048586368561,0.7338501291989664,0.7545454545454545,0.7157894736842105,0.7024793388429752,0.30612244897959184,0.19672131147540983,0.765625,0.7391304347826086,0.6938775510204082,0.8032786885245902,0.5009414275605706,0.858146537303446,0.8392714884379174
26,0.6360080814361573,0.6522257477045059,0.7183462532299741,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.848778855804617,0.8281910740007706
27,0.6354139852523804,0.6605017334222794,0.7441860465116279,0.7636363636363637,0.7111111111111111,0.6751054852320675,0.3469387755102041,0.14754098360655737,0.7536231884057971,0.7804878048780488,0.6530612244897959,0.8524590163934426,0.5196190123381126,0.8404148544663768,0.811800258125704
28,0.6369258427619934,0.6527595818042755,0.7325581395348837,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.8447641351622617,0.8232205397280529
29,0.6375284910202026,0.6290883868932724,0.7118863049095607,0.7545454545454545,0.7428571428571429,0.7738095238095238,0.20408163265306123,0.2786885245901639,0.8148148148148148,0.6964285714285714,0.7959183673469388,0.7213114754098361,0.5142279030518548,0.8558046169287387,0.834024838022519
30,0.6174198460578918,0.6431415230035782,0.7558139534883721,0.7636363636363637,0.723404255319149,0.7053941908713693,0.30612244897959184,0.18032786885245902,0.7692307692307693,0.7555555555555555,0.6938775510204082,0.819672131147541,0.519137602471737,0.8611575777852125,0.8441845412541285
31,0.6071513104438782,0.6493162661790848,0.7674418604651163,0.7181818181818181,0.6736842105263158,0.6611570247933884,0.3469387755102041,0.22950819672131148,0.734375,0.6956521739130435,0.6530612244897959,0.7704918032786885,0.4267778245569868,0.8343927735028438,0.7999989217375247
32,0.6314639687538147,0.6370392590761185,0.7338501291989664,0.7545454545454545,0.7096774193548387,0.6875,0.32653061224489793,0.18032786885245902,0.7575757575757576,0.75,0.673469387755102,0.819672131147541,0.5003065860540603,0.8568082970893276,0.8328904108708597
33,0.5996257555484772,0.6252425163984299,0.7338501291989664,0.7636363636363637,0.74,0.7489878542510121,0.24489795918367346,0.22950819672131148,0.7966101694915254,0.7254901960784313,0.7551020408163265,0.7704918032786885,0.5238441926215526,0.8541318166610906,0.8325173974990687
34,0.6198301243782044,0.6417002975940704,0.7209302325581395,0.7636363636363637,0.723404255319149,0.7053941908713693,0.30612244897959184,0.18032786885245902,0.7692307692307693,0.7555555555555555,0.6938775510204082,0.819672131147541,0.519137602471737,0.8437604550016727,0.8153988926856969
35,0.6252248287200928,0.6319433003664017,0.7338501291989664,0.7636363636363637,0.723404255319149,0.7053941908713693,0.30612244897959184,0.18032786885245902,0.7692307692307693,0.7555555555555555,0.6938775510204082,0.819672131147541,0.519137602471737,0.8561391769822684,0.8384044708054335
36,0.6304419338703156,0.6207009851932526,0.7028423772609819,0.7636363636363637,0.7346938775510204,0.7346938775510204,0.2653061224489796,0.21311475409836064,0.7868852459016393,0.7346938775510204,0.7346938775510204,0.7868852459016393,0.5215791234526598,0.8594847775175644,0.8443091003714164
37,0.6161541438102722,0.622855082154274,0.7403100775193798,0.7636363636363637,0.74,0.7489878542510121,0.24489795918367346,0.22950819672131148,0.7966101694915254,0.7254901960784313,0.7551020408163265,0.7704918032786885,0.5238441926215526,0.8601538976246237,0.8411504078828174
38,0.6047349190711975,0.6290551126003265,0.7351421188630491,0.7545454545454545,0.7216494845360825,0.7172131147540983,0.2857142857142857,0.21311475409836064,0.7741935483870968,0.7291666666666666,0.7142857142857143,0.7868852459016393,0.5022643948147305,0.8481097356975578,0.8311421048759554
39,0.6008128583431244,0.622544914484024,0.7571059431524548,0.7454545454545455,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.22950819672131148,0.7704918032786885,0.7142857142857143,0.7142857142857143,0.7704918032786885,0.4847775175644028,0.8568082970893275,0.8393920505968399
40,0.6094492828845978,0.6099259406328201,0.7377260981912145,0.7636363636363637,0.7450980392156863,0.7630522088353414,0.22448979591836735,0.2459016393442623,0.8070175438596491,0.7169811320754716,0.7755102040816326,0.7540983606557377,0.5267961528772603,0.8588156574105053,0.8381727269249981
41,0.5915962767601013,0.6302203983068466,0.7596899224806202,0.7727272727272727,0.7252747252747253,0.6932773109243697,0.32653061224489793,0.14754098360655737,0.7647058823529411,0.7857142857142857,0.673469387755102,0.8524590163934426,0.5380349436633,0.8537972566075611,0.835234820957625
42,0.5826805055141449,0.6283777952194214,0.7661498708010336,0.7454545454545455,0.6956521739130435,0.6694560669456067,0.3469387755102041,0.18032786885245902,0.746268656716418,0.7441860465116279,0.6530612244897959,0.819672131147541,0.48151251037237686,0.850451656072265,0.8350170661994041
43,0.6253003132343292,0.6308325231075287,0.7312661498708011,0.7272727272727273,0.6875,0.6790123456790124,0.32653061224489793,0.22950819672131148,0.746031746031746,0.7021276595744681,0.673469387755102,0.7704918032786885,0.44605535921669015,0.8374038139846102,0.8096426713867322
44,0.6102098000049591,0.6105976551771164,0.7338501291989664,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.8561391769822683,0.8402573862172704
45,0.6036848628520965,0.6041513234376907,0.7377260981912145,0.7727272727272727,0.7524752475247525,0.7661290322580645,0.22448979591836735,0.22950819672131148,0.8103448275862069,0.7307692307692307,0.7755102040816326,0.7704918032786885,0.5435525384661164,0.8614921378387421,0.8399376829160533
46,0.5947237825393676,0.6023539900779724,0.7428940568475452,0.7727272727272727,0.7474747474747475,0.7520325203252033,0.24489795918367346,0.21311475409836064,0.8,0.74,0.7551020408163265,0.7868852459016393,0.5409927308455277,0.8571428571428571,0.8412490029003002
47,0.6001463961601258,0.6330246552824974,0.748062015503876,0.7727272727272727,0.7252747252747253,0.6932773109243697,0.32653061224489793,0.14754098360655737,0.7647058823529411,0.7857142857142857,0.673469387755102,0.8524590163934426,0.5380349436633,0.8551354968216794,0.838195831314279
48,0.5928015148639679,0.5978385955095291,0.7609819121447028,0.7636363636363637,0.7346938775510204,0.7346938775510204,0.2653061224489796,0.21311475409836064,0.7868852459016393,0.7346938775510204,0.7346938775510204,0.7868852459016393,0.5215791234526598,0.8671796587487455,0.8541969591637162
49,0.5852247834205627,0.6133865863084793,0.7609819121447028,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.8430913348946135,0.8248489419153427
50,0.5879674565792083,0.6007181107997894,0.7596899224806202,0.7636363636363637,0.7346938775510204,0.7346938775510204,0.2653061224489796,0.21311475409836064,0.7868852459016393,0.7346938775510204,0.7346938775510204,0.7868852459016393,0.5215791234526598,0.8598193375710941,0.8418601031096591
51,0.5871249747276306,0.6106347143650055,0.7648578811369509,0.7636363636363637,0.7346938775510204,0.7346938775510204,0.2653061224489796,0.21311475409836064,0.7868852459016393,0.7346938775510204,0.7346938775510204,0.7868852459016393,0.5215791234526598,0.8584810973569756,0.8453371747739
52,0.5854034435749054,0.6107251346111298,0.7532299741602068,0.7545454545454545,0.7157894736842105,0.7024793388429752,0.30612244897959184,0.19672131147540983,0.765625,0.7391304347826086,0.6938775510204082,0.8032786885245902,0.5009414275605706,0.8501170960187354,0.829382950615296
53,0.5886017918586731,0.6107337921857834,0.7454780361757106,0.7727272727272727,0.7368421052631579,0.7231404958677686,0.2857142857142857,0.18032786885245902,0.78125,0.7608695652173914,0.7142857142857143,0.819672131147541,0.5380232290623626,0.8558046169287388,0.8336266141265258
54,0.5889521944522857,0.601382352411747,0.7506459948320413,0.7636363636363637,0.7291666666666666,0.720164609053498,0.2857142857142857,0.19672131147540983,0.7777777777777778,0.7446808510638298,0.7142857142857143,0.8032786885245902,0.5200057578810999,0.8571428571428572,0.8466366121962645
55,0.594711776971817,0.6163092255592346,0.7493540051679587,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.8464369354299097,0.8201399054029432
56,0.5917662119865418,0.5925246179103851,0.7622739018087855,0.7545454545454545,0.7216494845360825,0.7172131147540983,0.2857142857142857,0.21311475409836064,0.7741935483870968,0.7291666666666666,0.7142857142857143,0.7868852459016393,0.5022643948147305,0.8688524590163934,0.8594403000095856
57,0.5971191763877869,0.6004417836666107,0.7364341085271318,0.7545454545454545,0.7157894736842105,0.7024793388429752,0.30612244897959184,0.19672131147540983,0.765625,0.7391304347826086,0.6938775510204082,0.8032786885245902,0.5009414275605706,0.862495817999331,0.8415334316300503
58,0.5936132192611694,0.606122225522995,0.7622739018087855,0.7454545454545455,0.7083333333333334,0.6995884773662552,0.30612244897959184,0.21311475409836064,0.7619047619047619,0.723404255319149,0.6938775510204082,0.7868852459016393,0.48303055854889504,0.8494479759116762,0.8324579819564516
59,0.5897077524662018,0.6070329397916794,0.7545219638242894,0.7636363636363637,0.7291666666666666,0.720164609053498,0.2857142857142857,0.19672131147540983,0.7777777777777778,0.7446808510638298,0.7142857142857143,0.8032786885245902,0.5200057578810999,0.8524590163934426,0.8374178776743217
60,0.5871881115436554,0.6105500534176826,0.7583979328165374,0.7454545454545455,0.7021276595744681,0.6846473029045643,0.32653061224489793,0.19672131147540983,0.7538461538461538,0.7333333333333333,0.673469387755102,0.8032786885245902,0.48193555929786663,0.8507862161257946,0.8284589630305034
61,0.5860889410972595,0.6126081794500351,0.7545219638242894,0.7545454545454545,0.7157894736842105,0.7024793388429752,0.30612244897959184,0.19672131147540983,0.765625,0.7391304347826086,0.6938775510204082,0.8032786885245902,0.5009414275605706,0.8454332552693208,0.8297865403987177
62,0.5861624789237976,0.6017539203166962,0.7416020671834626,0.7727272727272727,0.7422680412371134,0.7377049180327869,0.2653061224489796,0.19672131147540983,0.7903225806451613,0.75,0.7346938775510204,0.8032786885245902,0.5391462929653449,0.8504516560722649,0.8322575829220058
63,0.5827560913562775,0.6064877212047577,0.7583979328165374,0.7727272727272727,0.7368421052631579,0.7231404958677686,0.2857142857142857,0.18032786885245902,0.78125,0.7608695652173914,0.7142857142857143,0.819672131147541,0.5380232290623626,0.8517898962863834,0.836915147406622
64,0.5667675840854645,0.5933780670166016,0.7648578811369509,0.7636363636363637,0.74,0.7489878542510121,0.24489795918367346,0.22950819672131148,0.7966101694915254,0.7254901960784313,0.7551020408163265,0.7704918032786885,0.5238441926215526,0.8527935764469723,0.8352448904800356
