Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,F1 Score,F2 Score,False Negative Rate,False Positive Rate,Negative Predictive Value,Positive Predictive Value,Sensitivity,Specificity,Matthews Correlation Coefficient,AUC-ROC,AUC-PR
1,0.7321367907524109,0.6617657020688057,0.6576227390180879,0.7272727272727273,0.6511627906976745,0.6008583690987125,0.42857142857142855,0.14754098360655737,0.7123287671232876,0.7567567567567568,0.5714285714285714,0.8524590163934426,0.44591426440487164,0.8558046169287388,0.7815661467059175
2,0.5203998398780822,0.3724372163414955,0.7958656330749354,0.8454545454545455,0.8411214953271028,0.8858267716535433,0.08163265306122448,0.21311475409836064,0.9230769230769231,0.7758620689655172,0.9183673469387755,0.7868852459016393,0.7020886955187337,0.9217129474740715,0.8801103668985552
3,0.31178626775741575,0.3686703033745289,0.875968992248062,0.8272727272727273,0.822429906542056,0.8661417322834646,0.10204081632653061,0.22950819672131148,0.9038461538461539,0.7586206896551724,0.8979591836734694,0.7704918032786885,0.6654521886368263,0.9233857477417197,0.8567212980583676
4,0.14940135776996613,0.5189809128642082,0.9612403100775194,0.7909090909090909,0.7472527472527473,0.7142857142857143,0.30612244897959184,0.13114754098360656,0.7794117647058824,0.8095238095238095,0.6938775510204082,0.8688524590163934,0.5756836992631492,0.9033121445299432,0.8537798323475524
5,0.06698442721739412,0.5294324643909931,0.9819121447028424,0.8,0.7755102040816326,0.7755102040816326,0.22448979591836735,0.18032786885245902,0.819672131147541,0.7755102040816326,0.7755102040816326,0.819672131147541,0.5951823352291736,0.9113415858146537,0.8464996977333149
6,0.01867530707269907,0.5730244554579258,0.9987080103359173,0.8,0.7659574468085106,0.7468879668049793,0.2653061224489796,0.14754098360655737,0.8,0.8,0.7346938775510204,0.8524590163934426,0.5935416888194778,0.9066577450652392,0.8479343252177104
7,0.012374456468969584,0.6593718528747559,0.9987080103359173,0.8181818181818182,0.8113207547169812,0.849802371541502,0.12244897959183673,0.22950819672131148,0.8867924528301887,0.7543859649122807,0.8775510204081632,0.7704918032786885,0.6446014833374941,0.9056540649046504,0.873949047465117
8,0.01128215211094357,0.7538827825337648,0.9961240310077519,0.8090909090909091,0.8,0.8333333333333334,0.14285714285714285,0.22950819672131148,0.8703703703703703,0.75,0.8571428571428571,0.7704918032786885,0.6239919444536091,0.8929407828705254,0.8442072876981401
9,0.01356945029925555,1.0830965042114258,0.9961240310077519,0.8,0.7380952380952381,0.670995670995671,0.3673469387755102,0.06557377049180328,0.76,0.8857142857142857,0.6326530612244898,0.9344262295081968,0.6051208136883249,0.9046503847440616,0.8248974553326678
10,0.019274918041191996,1.1795315891504288,0.9948320413436692,0.7727272727272727,0.7422680412371134,0.7377049180327869,0.2653061224489796,0.19672131147540983,0.7903225806451613,0.75,0.7346938775510204,0.8032786885245902,0.5391462929653449,0.882067581130813,0.8345524211467679
11,0.011014596300083213,1.3252338767051697,0.9974160206718347,0.7545454545454545,0.6746987951807228,0.6086956521739131,0.42857142857142855,0.09836065573770492,0.7236842105263158,0.8235294117647058,0.5714285714285714,0.9016393442622951,0.5087919100524916,0.8996319839411175,0.8678557441670791
12,0.0043653495112084785,0.9724794328212738,0.9987080103359173,0.7727272727272727,0.7311827956989247,0.7083333333333334,0.30612244897959184,0.16393442622950818,0.7727272727272727,0.7727272727272727,0.6938775510204082,0.8360655737704918,0.5376428984461543,0.8969555035128804,0.8735247224260634
13,0.0013590234066941775,0.938566692173481,1.0,0.7818181818181819,0.7446808510638298,0.7261410788381742,0.2857142857142857,0.16393442622950818,0.7846153846153846,0.7777777777777778,0.7142857142857143,0.8360655737704918,0.5563396456456075,0.8976246236199397,0.8752395023030684
